R2.adj	Df	AIC	F	Pr(>F)
X.days	0.435454251455264	1	182.607704329075	190.907127994686	0.002
FOOD	0.469178270274543	2	166.121532024746	10.2120997596022	0.002
ATC_level2_D01	0.489364339852898	1	155.489331699086	12.3850020519352	0.008
ATC_level2_A01_teejel	0.501246674927652	1	149.405833208808	7.8375086340724	0.018
