R2.adj	Df	AIC	F	Pr(>F)
ATC_level2_J01	0.12120487169636	1	398.807320692162	19.0127954575138	0.008
Consistency	0.157924187127533	2	387.976265723196	7.32282824910746	0.002
X.days	0.174792845709984	1	382.885820781315	6.88721710238443	0.008
