R2.adj	Df	AIC	F	Pr(>F)
FOOD	0.174146154427302	2	281.255657557224	8.65390768997739	0.002
ATC_level2_N02	0.207399100362484	1	269.930959474774	13.1247671806358	0.006
ICD_simple_Diarrea	0.225182356717932	1	264.106016601446	7.61004285947118	0.008
