R2.adj	Df	AIC	F	Pr(>F)
X.days	0.245267115849755	1	-700.539317099969	87.4897053173283	0.002
ATC_level2_A01_teejel	0.389431613643087	1	-762.952235712665	69.4734180384289	0.002
