R2.adj	Df	AIC	F	Pr(>F)
X.days	0.306812932678151	1	-780.964676513656	104.058804169669	0.002
ATC_level2_R05	0.328217147190268	1	-789.375552563047	10.2399235594535	0.01
FOOD	0.347225640740833	2	-796.034334514988	5.20777452284436	0.004
