"","chi2","Z","P","P.adj","Comparison","N","r","r2"
"1",228.961580840711,-4.7067863442618,1.25826207326295e-06,1.50991448791554e-06,"A - B",182,-0.348890216135386,0.121724382914996
"2",228.961580840711,-12.8348593978844,5.22963419463748e-38,3.13778051678249e-37,"A - C",184,-0.946198388298573,0.895291390018818
"3",228.961580840711,-7.92587775268866,1.13270186869883e-15,2.26540373739766e-15,"B - C",176,-0.597435514543035,0.356929194037301
"4",228.961580840711,-11.3075323459437,6.02144695965422e-30,1.80643408789626e-29,"A - D",127,-1.00338124326064,1.00677391932727
"5",228.961580840711,-7.80045755025627,3.08415572981902e-15,4.62623359472853e-15,"B - D",119,-0.715066771245229,0.511320487339077
"6",228.961580840711,-2.02682537674157,0.0213401371270771,0.0213401371270771,"C - D",121,-0.184256852431052,0.0339505876677985
