"","chi2","Z","P","P.adj","Comparison","N","r","r2"
"1",145.583213138903,-1.88641704900392,0.0296193884451201,0.0355432661341441,"A - B",182,-0.139830534851201,0.0195525784767728
"2",145.583213138903,-10.8400752064484,1.11144122259073e-27,6.66864733554439e-27,"A - C",184,-0.799140946652474,0.638626252616613
"3",145.583213138903,-8.75002239161887,1.0665520879828e-18,3.19965626394839e-18,"B - C",176,-0.659557754095636,0.43501643098768
"4",145.583213138903,-6.39242469712746,8.1637821289311e-11,1.63275642578622e-10,"A - D",127,-0.567235966594838,0.32175664179878
"5",145.583213138903,-4.96564981290892,3.42357057480765e-07,5.13535586221148e-07,"B - D",119,-0.455200372026203,0.207207378692794
"6",145.583213138903,1.41939933611649,0.0778913129361103,0.0778913129361103,"C - D",121,0.129036303283317,0.0166503675650241
